===============================================================================
Id,NFLX,len,datetime,open,high,low,close,volume,openinterest,AMZN,len,datetime,open,high,low,close,volume,openinterest,Strategy_pairGen,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,NFLX,AMZN
33,NFLX,33,2021-08-04 23:59:59.999989,146.7801,147.1795,146.7801,147.0796,3710.0,0.0,AMZN,33,2021-08-04 23:59:59.999989,287.19,287.19,286.9,286.9,911.0,0.0,Strategy_pairGen,33,738006.9999999999,Broker,33,100000.0,100000.0,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,NFLX,34,2021-08-04 23:59:59.999989,147.1196,147.3093,146.9998,147.1795,4837.0,0.0,AMZN,34,2021-08-04 23:59:59.999989,287.12,287.31,286.92,287.2,2163.0,0.0,Strategy_pairGen,34,738006.9999999999,Broker,34,100000.0,100000.0,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,NFLX,35,2021-08-04 23:59:59.999989,147.2694,147.4591,147.1795,147.2094,4589.0,0.0,AMZN,35,2021-08-04 23:59:59.999989,287.25,287.3,287.17,287.17,1358.0,0.0,Strategy_pairGen,35,738006.9999999999,Broker,35,100000.0,100000.0,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,NFLX,36,2021-08-04 23:59:59.999989,147.1795,147.3193,146.87,146.87,58448.0,0.0,AMZN,36,2021-08-04 23:59:59.999989,287.2,287.2,286.6,286.6,6798.0,0.0,Strategy_pairGen,36,738006.9999999999,Broker,36,100000.0,100000.0,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,NFLX,37,2021-08-04 23:59:59.999989,147.1396,147.3293,146.6852,146.9998,1663119.0,0.0,AMZN,37,2021-08-04 23:59:59.999989,287.12,287.4799,286.2,286.33,14738.0,0.0,Strategy_pairGen,37,738006.9999999999,Broker,37,100000.0,100000.0,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,NFLX,38,2021-08-04 23:59:59.999989,146.9934,147.5689,146.5704,147.4721,8799860.0,0.0,AMZN,38,2021-08-04 23:59:59.999989,286.25,287.2126,285.54,286.795,1797504.0,0.0,Strategy_pairGen,38,738006.9999999999,Broker,38,100000.0,100000.0,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,NFLX,39,2021-08-04 23:59:59.999989,147.479,147.535,146.3607,146.4106,9036781.0,0.0,AMZN,39,2021-08-04 23:59:59.999989,286.805,286.88,284.65,285.02,2148959.0,0.0,Strategy_pairGen,39,738006.9999999999,Broker,39,100000.0,100000.0,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,NFLX,40,2021-08-04 23:59:59.999989,146.4156,146.7701,146.0612,146.7501,6358351.0,0.0,AMZN,40,2021-08-04 23:59:59.999989,285.03,286.48,284.97,286.45,1203350.0,0.0,Strategy_pairGen,40,738006.9999999999,Broker,40,100000.0,100000.0,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,NFLX,41,2021-08-04 23:59:59.999989,146.7401,147.0896,146.5904,146.9249,4214402.0,0.0,AMZN,41,2021-08-04 23:59:59.999989,286.44,286.725,286.12,286.48,871037.0,0.0,Strategy_pairGen,41,738006.9999999999,Broker,41,100000.0,100000.0,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,NFLX,42,2021-08-04 23:59:59.999989,146.9299,147.2993,146.7801,146.855,3748190.0,0.0,AMZN,42,2021-08-04 23:59:59.999989,286.49,287.03,286.33,286.41,1025139.0,0.0,Strategy_pairGen,42,738006.9999999999,Broker,42,100000.0,100000.0,BuySell,42,,,BuySell,42,,,DataTrades,42,,
